id,fecha,id_p,usercode,fecha_hora,latitude,longitude,latitude_pc,longitude_pc,fecha_hora_pc,distancia
50,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531293,-71.51661148,2018-06-02 21:46:21,5
51,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38534065,-71.51659442,2018-06-02 21:47:22,5
52,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38534125,-71.51657733,2018-06-02 21:50:14,5
53,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38533281,-71.51657695,2018-06-02 21:50:26,5
54,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38532920,-71.51657690,2018-06-02 21:50:38,5
55,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38532715,-71.51657801,2018-06-02 21:50:42,5
56,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531979,-71.51657683,2018-06-02 21:50:51,5
57,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38532130,-71.51657555,2018-06-02 21:51:11,5
58,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38527997,-71.51660672,2018-06-02 23:24:50,5
59,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38529927,-71.51656690,2018-06-02 23:28:03,5
60,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38532131,-71.51660434,2018-06-02 23:28:10,5
61,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38530963,-71.51663281,2018-06-02 23:28:22,5
62,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38531302,-71.51661010,2018-06-02 21:46:35,5
63,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38531636,-71.51660570,2018-06-02 21:46:41,5
64,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38528784,-71.51663406,2018-06-02 16:35:25,5
65,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38531556,-71.51659740,2018-06-02 20:58:49,5
66,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38531097,-71.51662579,2018-06-02 20:58:56,5
67,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38529297,-71.51662896,2018-06-02 21:00:26,5
68,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38535015,-71.51660531,2018-06-02 21:46:09,5
69,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38534495,-71.51660743,2018-06-02 21:46:10,5
70,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38531293,-71.51661148,2018-06-02 21:46:21,5
71,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38534065,-71.51659442,2018-06-02 21:47:22,5
72,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38534125,-71.51657733,2018-06-02 21:50:14,5
73,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38533281,-71.51657695,2018-06-02 21:50:26,5
74,2018-06-02,278749,4BA93CE2575B5E69,2018-06-02 21:46:41,-16.38531636,-71.51660570,-16.38532920,-71.51657690,2018-06-02 21:50:38,5
